Rooms;Square;LifeSquare;KitchenSquare;Floor;HouseFloor;HouseYear;Ecology_1;Social_1;Social_3;Healthcare_1;Helthcare_2;Shops_1;Price
3.0;115.02731063267048;32.781260192155735;10.0;-0.8709059985248412;10.0;1.6150389702164432;0.07542368;-0.7806984190777696;-0.438267314711515;900.0;-0.8834797975493228;-0.42839572016024635;305018.8710894109
1.0;39.83252387029935;23.16922266530641;8.0;-0.2850553817626097;8.0;-1.075263423664215;0.118537385;0.30305039092278724;-0.7735391282913153;1183.0;-0.21392330073285987;-0.42839572016024635;177734.55340714107
3.0;78.34221506646014;47.67197161462768;10.0;-1.2614730763663289;17.0;0.15779184019775336;0.025609157;0.4741686240807699;-0.438267314711515;240.0;1.1251896929000662;-1.1139385592708984;282078.7208500433
1.0;40.40990691527505;32.781260192155735;1.0;0.30079523499962174;22.0;-0.45873579173323076;0.007122317;-1.3510925296043785;-0.438267314711515;900.0;-0.8834797975493228;-1.1139385592708984;168106.00763001086
2.0;64.28506724828556;38.56251674804049;9.0;1.4724964685240847;16.0;-0.7389756244291327;0.282797669;0.4741686240807699;-0.438267314711515;900.0;-0.8834797975493228;0.5999185385057317;343995.10296205425
3.0;62.52846461595018;47.10383298933234;6.0;0.10551169607887793;9.0;-0.7389756244291327;0.012338886;0.5882474461860917;-0.7735391282913153;2078.0;0.45563319608360314;-0.0856243006049203;161044.94413780785
1.0;33.938750019723045;21.77293026842016;9.0;-1.4567566152870726;12.0;-0.9631674905858542;0.232205084;-0.039186075393178095;-0.7735391282913153;80.0;-0.8834797975493228;-0.42839572016024635;142402.73927153
2.0;50.3918142242363;32.89325633384121;8.0;-0.08977184284186589;17.0;0.045695907119392594;0.019508796;0.7023262682914134;2.579179007506688;176.0;2.4643026865329922;0.2571471189504057;326174.1751906913
1.0;46.88789179234404;44.62813153648891;1.0;0.6913623128411094;20.0;-0.45873579173323076;0.007122317;-1.3510925296043785;-0.438267314711515;900.0;-0.8834797975493228;-1.1139385592708984;160400.40173203114
3.0;79.86747667320513;75.08512538271577;1.0;-1.066189537445585;17.0;1.6150389702164432;0.243204519;-1.1229348853937349;-0.438267314711515;540.0;-0.8834797975493228;-0.42839572016024635;194756.02394527625
3.0;74.19904875578756;44.73588895764597;10.0;-0.6756224596040974;14.0;1.2787511709813608;0.035145267;0.9875233235547178;-0.10299550113171463;2620.0;-0.8834797975493228;-0.42839572016024635;192269.64487934904
2.0;53.97514357835883;34.15358375347871;8.0;-1.2614730763663289;12.0;-0.4026878251940504;0.127375905;1.0445627346073787;-0.10299550113171463;900.0;1.1251896929000662;1.6282327971717099;253124.0053320823
1.0;47.56444337054507;23.574422811627468;13.0;0.10551169607887793;24.0;1.5029430371380823;0.050900058;1.0445627346073787;-0.7735391282913153;30.0;0.45563319608360314;-0.42839572016024635;199556.8659052025
2.0;43.87102586277203;26.11438626655661;5.0;-0.6756224596040974;9.0;-0.9071195240466737;0.265088676;0.7023262682914134;-0.438267314711515;1937.0;1.1251896929000662;-0.7711671397155724;213001.5152692308
3.0;81.99479026880738;43.68879835806401;10.0;-1.2614730763663289;22.0;1.2787511709813608;0.08761909;-0.9518166522357523;0.5675481260278861;900.0;-0.21392330073285987;-0.42839572016024635;481360.3607276174
1.0;36.67340725700864;16.285522177555233;9.0;-1.066189537445585;12.0;0.9985113382854589;0.041116354;1.6149568451339877;0.2322763124480857;900.0;-0.21392330073285987;-0.0856243006049203;168143.3456997873
1.0;44.825250190495375;24.240045212498355;8.0;-0.2850553817626097;12.0;-0.23454392557650927;0.041124634;1.2156809677653615;0.5675481260278861;900.0;-0.21392330073285987;1.9710042167270359;207633.6602870756
2.0;49.39599972865716;28.299600040195045;5.0;-0.48033892068335354;5.0;-1.2994552898209364;0.458174486;0.07489274671214367;-0.7735391282913153;1130.0;-0.21392330073285987;0.2571471189504057;186971.9265661055
1.0;47.582479895571225;32.781260192155735;1.0;1.4724964685240847;16.0;-0.45873579173323076;0.007122317;-1.3510925296043785;-0.438267314711515;900.0;-0.8834797975493228;-1.1139385592708984;128803.59381001432
1.0;42.367288692851375;40.012528663007295;1.0;1.4724964685240847;14.0;1.6710869367556234;0.195781053;-0.09622548644583899;0.9028199396076864;900.0;1.1251896929000662;-0.7711671397155724;250466.98077681608
1.0;50.97489077227677;32.781260192155735;1.0;-0.2850553817626097;16.0;1.8392308363731646;0.23861713;0.07489274671214367;0.9028199396076864;705.0;1.1251896929000662;0.5999185385057317;260328.41337559265
3.0;75.61106465625633;47.49462144277383;8.0;0.4960787739203656;9.0;-0.5147837582724112;0.019508796;0.7023262682914134;2.579179007506688;176.0;2.4643026865329922;0.2571471189504057;366916.2464940092
3.0;86.32636026251232;46.09724096684023;10.0;-1.066189537445585;17.0;0.045695907119392594;0.0;-0.09622548644583899;0.2322763124480857;900.0;0.45563319608360314;0.5999185385057317;421803.7487527664
1.0;38.174327931544674;23.12301444721017;9.0;-0.48033892068335354;12.0;-0.9071195240466737;0.014423114;-0.32438313065648255;0.2322763124480857;900.0;-0.8834797975493228;-0.42839572016024635;194273.0445550664
1.0;44.20394691086295;32.781260192155735;6.0;-1.2614730763663289;13.0;-0.45873579173323076;0.072157581;-1.2940531185517177;-0.7735391282913153;900.0;-0.8834797975493228;-0.42839572016024635;135466.55995845908
2.0;65.40996541571897;32.781260192155735;1.0;1.8630635463655723;1.0;-0.45873579173323076;0.243204519;-1.1229348853937349;-0.438267314711515;540.0;-0.8834797975493228;-0.42839572016024635;191205.27260844488
3.0;83.26252987516949;4.7691744289810005;1.0;0.8866458517618532;1.0;-0.45873579173323076;0.127375905;1.0445627346073787;-0.10299550113171463;900.0;1.1251896929000662;1.6282327971717099;410883.89201982936
2.0;52.96691455467195;33.79333603319955;8.0;0.8866458517618532;14.0;-0.010352059419787778;0.0077202819999999;0.7593656793440743;-0.438267314711515;900.0;-0.8834797975493228;-0.0856243006049203;235998.2077440021
1.0;34.127058575140786;19.43573770898308;6.0;-0.6756224596040974;5.0;-1.411551222899297;0.111627393;1.443838611976005;1.573363566767287;1970.0;0.45563319608360314;-0.42839572016024635;173155.77077902228
2.0;53.19964976411252;32.45905229638281;9.0;-1.066189537445585;3.0;1.8952788029123449;0.005767451;-1.3510925296043785;-0.438267314711515;900.0;-0.8834797975493228;-0.42839572016024635;94061.94357934452
1.0;43.03339773536077;32.781260192155735;1.0;-1.066189537445585;4.0;-0.45873579173323076;0.014072961;-1.2940531185517177;-0.438267314711515;900.0;-0.8834797975493228;-0.42839572016024635;72659.97157533352
1.0;47.83762991944312;22.2977391797552;1.0;2.4489141631278035;24.0;1.6150389702164432;0.060753049;-0.552540774867126;-0.438267314711515;520.0;-0.8834797975493228;0.9426899580610578;233717.2987088421
4.0;104.76902158523696;79.31665044874494;8.0;-0.8709059985248412;8.0;-1.411551222899297;0.200146802;-0.09622548644583899;1.573363566767287;770.0;0.45563319608360314;-0.42839572016024635;192269.64487934904
2.0;73.31497505994463;74.13126066002347;1.0;-0.2850553817626097;6.0;-0.45873579173323076;0.075778755;-1.065895474341074;-0.10299550113171463;900.0;-0.8834797975493228;-0.7711671397155724;254005.38186295828
2.0;58.78366099380082;55.441255821329314;11.0;0.8866458517618532;12.0;-0.45873579173323076;0.011654127;-1.179974296446396;-0.438267314711515;900.0;-0.8834797975493228;-0.42839572016024635;138396.98461170195
2.0;65.8329536451764;32.781260192155735;1.0;0.4960787739203656;17.0;-0.45873579173323076;0.075778755;-1.065895474341074;-0.10299550113171463;900.0;-0.8834797975493228;-0.7711671397155724;193398.61374915
2.0;46.76017688460839;29.82914715605585;6.0;-0.8709059985248412;9.0;-0.6268796913507719;0.089039719;0.4741686240807699;0.5675481260278861;900.0;-0.8834797975493228;2.313775636282362;203384.3280258776
1.0;78.9361644571503;76.74665410997709;1.0;-0.08977184284186589;7.0;-0.45873579173323076;0.161531741;0.017853335659482793;-0.7735391282913153;30.0;0.45563319608360314;-0.0856243006049203;226206.96243502828
2.0;55.521797407031706;32.781260192155735;6.0;-1.066189537445585;4.0;-0.45873579173323076;0.034656082;-1.4081319406570394;-0.438267314711515;900.0;-0.8834797975493228;-0.42839572016024635;93217.7529240404
2.0;56.71277142064889;36.45406385517439;7.0;-0.48033892068335354;5.0;-1.6357430890560187;0.050272014;-0.21030430855116075;3.584994448246089;1020.0;-0.8834797975493228;-0.42839572016024635;299177.50263524376
1.0;32.99499423527054;17.717022189890667;5.0;-0.8709059985248412;5.0;-1.243407323281756;0.033493708;2.3564691888185796;-0.7735391282913153;1322.0;1.1251896929000662;1.285461377616384;158611.39437663936
3.0;80.91644470821366;52.86178492766021;8.0;-1.2614730763663289;5.0;-1.3555032563601168;0.020741326;-0.039186075393178095;0.5675481260278861;1340.0;0.45563319608360314;0.2571471189504057;308656.41967736284
2.0;53.17979115459322;50.64379669225085;5.0;-0.6756224596040974;12.0;-0.5147837582724112;0.042031587;0.7023262682914134;-0.438267314711515;1940.0;0.45563319608360314;0.2571471189504057;308108.23387345177
1.0;33.07180726663486;22.237242127160783;6.0;-1.2614730763663289;9.0;-0.34663985865487;0.037177818;1.5579174340813267;-0.7735391282913153;2300.0;-0.21392330073285987;0.9426899580610578;154480.96795636456
