Home Ownership;Annual Income;Years in current job;Tax Liens;Number of Open Accounts;Years of Credit History;Maximum Open Credit;Number of Credit Problems;Months since last delinquent;Bankruptcies;Purpose;Term;Current Loan Amount;Current Credit Balance;Monthly Debt;Credit Score;Credit Default
Own Home;-1.1143035702288595;;-0.11095342154390785;11.0;26.3;685960.0;1.6647792271904904;-0.08348426679666114;1.0;debt consolidation;Short Term;99999999.0;47386.0;-0.8720845805099383;-0.21893240800840794;0
Own Home;-0.39618987223100743;10+ years;-0.11095342154390785;15.0;15.3;1181730.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;264968.0;394972.0;0.004909107517618331;-0.22727593933944762;1
Home Mortgage;-0.7583853300498542;8 years;-0.11095342154390785;11.0;35.0;1182434.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;99999999.0;308389.0;-0.3910335442527347;-0.22379946795151442;0
Own Home;-0.6874778795902061;6 years;-0.11095342154390785;8.0;22.5;147400.0;1.6647792271904904;-0.08348426679666114;1.0;debt consolidation;Short Term;121396.0;95855.0;-0.5849800401326217;-0.2571735932756732;0
Rent;-0.7255429273582041;8 years;-0.11095342154390785;13.0;13.6;385836.0;1.6647792271904904;-0.08348426679666114;0.0;debt consolidation;Short Term;125840.0;93309.0;-0.9336309393408233;-0.23979123633600716;0
Rent;-0.20734605675401982;7 years;-0.11095342154390785;12.0;14.6;366784.0;-0.3409788778582933;-0.08348426679666114;0.0;other;Long Term;337304.0;165680.0;0.03165745692777137;-0.23144770500496747;1
Home Mortgage;0.24556775039581433;10+ years;-0.11095342154390785;9.0;20.3;388124.0;-0.3409788778582933;2.7050679860790003;0.0;home improvements;Short Term;99999999.0;51623.0;-1.3413965292517143;-0.2217135851187545;0
Rent;-0.3769313685119741;10+ years;-0.11095342154390785;13.0;12.0;330374.0;-0.3409788778582933;-1.035672840949326;0.0;other;Short Term;250888.0;89015.0;0.12129377517057259;-0.24952535622222013;1
Home Mortgage;-0.20734605675401982;5 years;-0.11095342154390785;17.0;15.7;0.0;1.6647792271904904;-0.08348426679666114;1.0;home improvements;Short Term;129734.0;19.0;-1.5342529670051688;-0.23144770500496747;0
Home Mortgage;-0.20734605675401982;1 year;-0.11095342154390785;10.0;24.6;511302.0;-0.3409788778582933;-1.8518344759373246;0.0;debt consolidation;Long Term;572880.0;205333.0;-0.05881736756613184;-0.23144770500496747;1
Home Mortgage;-0.20734605675401982;< 1 year;-0.11095342154390785;7.0;11.5;256322.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;220858.0;187492.0;-0.3121301060240388;-0.23144770500496747;0
Home Mortgage;0.6650867597016924;4 years;-0.11095342154390785;12.0;17.6;839080.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;441100.0;402914.0;-0.2336459209208938;-0.22727593933944762;0
Home Mortgage;-0.5178423500911331;10+ years;-0.11095342154390785;8.0;14.0;443608.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;337766.0;315305.0;0.09488082826086035;-0.24883006194463347;0
Rent;0.9793493836227105;10+ years;-0.11095342154390785;11.0;17.7;1654026.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;549780.0;1037077.0;0.2980508929028691;-0.23353358783772737;1
Own Home;1.2336520246479639;7 years;-0.11095342154390785;11.0;17.7;1602546.0;-0.3409788778582933;-0.08348426679666114;0.0;other;Short Term;185262.0;1374327.0;3.3571732487982078;-0.21962770228599457;0
Rent;-0.6301292192326154;10+ years;-0.11095342154390785;9.0;18.4;296186.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;145134.0;41439.0;-0.4507351893311954;-0.23422888211531404;0
Rent;-0.20734605675401982;7 years;-0.11095342154390785;6.0;17.8;899492.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;313038.0;538346.0;0.044402751944521396;-0.23144770500496747;1
Home Mortgage;2.6914228315836035;3 years;-0.11095342154390785;14.0;28.5;1042096.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;498872.0;689396.0;2.845432883750672;-0.29193830715500524;1
Home Mortgage;0.10104109145610675;2 years;-0.11095342154390785;9.0;29.0;387222.0;-0.3409788778582933;0.4606234898620045;0.0;debt consolidation;Long Term;553586.0;201989.0;-0.40922912990164756;-0.25647829899808655;1
Rent;-0.40334590034042656;2 years;-0.11095342154390785;6.0;12.5;199078.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;309672.0;120517.0;-0.32395304416457665;-0.24465829627911365;1
Home Mortgage;0.4317500255935092;10+ years;-0.11095342154390785;11.0;26.5;663894.0;-0.3409788778582933;0.7326773681913373;0.0;debt consolidation;Long Term;585090.0;252852.0;-0.8026562629186947;-0.25508771044291323;0
Home Mortgage;-0.36723934447605905;6 years;-0.11095342154390785;7.0;34.4;401104.0;-0.3409788778582933;0.8006908377736706;0.0;debt consolidation;Short Term;324852.0;183597.0;-0.8828174605240435;-0.23979123633600716;1
Rent;-1.1384834125775285;;-0.11095342154390785;6.0;28.3;288442.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;99999999.0;157700.0;-1.1111427126991116;-0.22658064506186099;0
Own Home;-0.20734605675401982;10+ years;-0.11095342154390785;17.0;14.8;700040.0;-0.3409788778582933;-1.1036863105316592;0.0;debt consolidation;Short Term;174878.0;168074.0;-0.09914951824413688;-0.23144770500496747;1
Own Home;-0.20734605675401982;;-0.11095342154390785;12.0;25.0;1216336.0;-0.3409788778582933;1.8889063510910018;0.0;debt consolidation;Short Term;467676.0;818311.0;1.6112355327536736;-0.23144770500496747;0
Rent;0.03681260056524991;10+ years;-0.11095342154390785;3.0;29.8;1231912.0;-0.3409788778582933;-0.08348426679666114;0.0;other;Short Term;108042.0;1036279.0;0.32790171544209945;-0.23909594205842052;0
Home Mortgage;-0.494064249671414;2 years;-0.11095342154390785;20.0;15.8;748880.0;-0.3409788778582933;-0.08348426679666114;0.0;other;Short Term;66110.0;285874.0;-0.10636067200361388;-0.22379946795151442;0
Rent;-0.42451267822197164;8 years;-0.11095342154390785;7.0;14.5;328394.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;99999999.0;195966.0;-1.0291368013413384;-0.22936182217220755;0
Home Mortgage;-0.8116663533768277;10+ years;-0.11095342154390785;12.0;19.5;533808.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;155782.0;262314.0;-0.37795284673554386;-0.2251900565066877;0
Rent;-0.20734605675401982;10+ years;-0.11095342154390785;9.0;18.6;186494.0;-0.3409788778582933;-1.8518344759373246;0.0;debt consolidation;Short Term;357918.0;72808.0;0.33855074483109454;-0.23144770500496747;1
Rent;-0.9416298673921033;7 years;-0.11095342154390785;8.0;14.0;225016.0;1.6647792271904904;-0.08348426679666114;1.0;debt consolidation;Short Term;99999999.0;147687.0;-1.0218417969567513;-0.23979123633600716;0
Own Home;-0.04690037387967453;10+ years;-0.11095342154390785;11.0;20.5;845548.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;99999999.0;640433.0;0.6904718184185938;-0.2474394733894602;0
Home Mortgage;0.2663578952189689;10+ years;-0.11095342154390785;19.0;25.0;1303082.0;-0.3409788778582933;-1.3077267192786588;0.0;debt consolidation;Short Term;265188.0;495178.0;0.8328501798557094;-0.23492417639290067;1
Home Mortgage;-0.20734605675401982;< 1 year;-0.11095342154390785;13.0;21.0;101464.0;-0.3409788778582933;-1.5117671280256586;0.0;other;Short Term;79464.0;60287.0;-0.36151812421394514;-0.23144770500496747;1
Rent;0.7582406694769382;3 years;-0.11095342154390785;6.0;10.2;802692.0;-0.3409788778582933;-0.08348426679666114;0.0;take a trip;Short Term;43978.0;550430.0;0.2955353741495632;-0.23770535350324723;0
Rent;-0.20734605675401982;< 1 year;-0.11095342154390785;9.0;31.4;1457104.0;-0.3409788778582933;-0.08348426679666114;0.0;buy a car;Short Term;155474.0;254201.0;-0.9470470393584549;-0.23144770500496747;0
Home Mortgage;-0.20734605675401982;6 years;-0.11095342154390785;8.0;14.5;409222.0;-0.3409788778582933;-1.3077267192786588;0.0;other;Long Term;667458.0;206758.0;0.044570453194741795;-0.23144770500496747;1
Rent;-0.20734605675401982;5 years;-0.11095342154390785;13.0;18.0;608652.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;122936.0;221825.0;-0.6295885726912469;-0.23144770500496747;1
Rent;0.09298114400655044;6 years;-0.11095342154390785;15.0;17.6;1480182.0;-0.3409788778582933;2.841094925243667;0.0;debt consolidation;Short Term;120670.0;58805.0;-0.6804020515080266;-0.21823711373082127;0
Home Mortgage;-0.6254338604380141;7 years;10.935294298535414;12.0;7.6;337722.0;5.676295437288058;-0.08348426679666114;0.0;debt consolidation;Short Term;175384.0;160417.0;0.29796704227775894;-0.23422888211531404;1
